REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
36,2025,09,4,13,0,12,,1,3,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,75
37,2025,09,1,35,0,11,,2,6,4,1,,,6,3,14,02,07,,,,117,117,2,117,117,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,,18,,62
38,2025,09,4,48,0,05,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,1,06,3,241
39,2025,09,4,35,4,11,,2,1,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,18,,149
40,2025,09,4,59,9,02,4,2,6,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,455
41,2025,09,4,59,0,02,3,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,3,15,,310
42,2025,09,1,24,0,06,,2,2,6,1,,,6,2,17,04,14,,,,700,800,1,700,800,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,1,09,1,87
43,2025,09,4,24,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,11,,106
44,2025,09,1,10,0,04,,1,6,2,1,,,2,3,10,07,34,,,,320,320,1,320,320,0,,0,0,0,,136,,1820,1,1,3,4,,,,,,,,,,,,,,,,,1,18,,45
45,2025,09,1,35,0,08,,2,2,2,1,,,2,3,14,02,07,,,,150,160,2,150,160,0,,0,0,0,5,240,,4177,3,1,2,4,,,,,,,,,,,,,,,,,1,10,4,69
46,2025,09,1,12,0,09,,1,6,5,1,,,2,3,08,07,33,,,,375,350,1,375,350,35,3,0,10,10,,240,,5026,3,1,3,3,,,,,,,,,,,,,,,,,1,18,,138
47,2025,09,1,59,0,05,,1,2,2,1,,,2,3,09,07,31,,,,400,400,1,400,400,0,,0,0,0,,48,,3500,3,1,2,3,,,,,,,,,,,,,,,,,1,06,1,83
48,2025,09,1,24,0,04,,1,6,4,1,,,2,3,11,08,36,,,,700,700,1,700,700,0,,0,0,0,,16,,2500,3,1,3,4,,,,,,,,,,,,,,,,,1,08,,106
49,2025,09,1,24,0,03,6,2,2,6,1,,,2,3,17,05,24,,,,350,350,1,350,350,0,,0,0,0,,73,,3050,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,82
50,2025,09,4,24,0,11,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,05,,252
51,2025,09,1,13,0,06,,2,1,2,1,,,2,3,12,01,02,,,,375,375,1,375,375,0,,0,0,0,,158,,3590,3,1,1,3,,,,,,,,,,,,,,,,,1,03,3,63
52,2025,09,4,59,0,10,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,1,18,,608
53,2025,09,1,11,0,01,2,1,6,2,1,,,2,3,19,07,32,,,,500,160,1,500,160,350,4,0,0,0,,3,,1650,3,2,1,1,,,,,,,,,,,,,,,,,1,03,,40
54,2025,09,1,35,4,06,,1,1,5,1,,,2,2,07,03,11,,,,375,375,1,375,375,0,,0,0,0,,18,,6840,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,521
55,2025,09,4,24,0,11,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,11,,102
56,2025,09,1,35,0,05,,1,2,2,1,,,2,3,15,08,38,,,,360,425,1,360,425,0,,65,0,65,,199,,2650,3,1,3,4,,,,,,,,,,,,,,,,,1,03,1,265
57,2025,09,1,10,0,02,3,1,6,2,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,1,,5769,3,1,4,4,,,,,,,,,,,,,,,,,1,04,,69
58,2025,09,1,48,0,06,,2,1,4,1,,,4,3,17,04,17,,,,300,300,1,300,300,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,09,1,207
59,2025,09,2,48,7,05,,2,1,4,1,,,2,3,19,02,07,2,58,2,375,0,1,375,0,,,,,,,55,,3077,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,827
60,2025,09,1,35,0,05,,2,1,6,1,,,1,3,16,05,20,,,,350,400,1,350,400,0,,0,50,50,,149,,4396,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,681
61,2025,09,4,35,0,09,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,1,11,,262
62,2025,09,1,35,4,12,,1,5,2,1,,,2,2,09,02,09,,,,200,200,2,200,200,0,,0,0,0,5,240,,1785,3,4,1,1,,,,,,,,,,,,,,,,,,01,,827
63,2025,09,4,12,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,166
64,2025,09,1,59,9,06,,1,1,5,1,,,1,2,21,03,11,,,,375,375,1,375,375,0,,0,0,0,,4,,5744,3,1,3,3,,,,,,,,,,,,,,,,,1,06,2,356
65,2025,09,4,35,4,02,3,2,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,07,,1132
66,2025,09,4,24,0,01,2,1,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,,90
67,2025,09,4,35,0,12,,1,1,2,,1,2,2,3,20,07,34,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,5,,,,,,,,,,,,11,,587
68,2025,09,4,46,0,01,1,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,2,03,,262
69,2025,09,3,35,0,09,,2,2,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,20,7,2,,,16,2,,,,1,,,2,,,1,06,3,1101
70,2025,09,1,59,0,03,5,1,2,5,1,,,2,3,10,07,34,,,,280,280,2,280,280,0,,0,0,0,5,12,,1950,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,411
71,2025,09,1,24,2,05,,2,6,5,1,,,1,3,16,05,25,,,,325,325,1,325,325,0,,0,0,0,,56,,2625,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,416
72,2025,09,4,35,0,03,6,1,2,1,,1,1,2,3,19,07,34,,,,,,,,,,,,,,,,109,,,,,,,,,0,06,7,,,,,,,,,,,1,08,,335
73,2025,09,1,24,0,10,,1,6,4,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,53,,3250,3,2,1,1,,,,,,,,,,,,,,,,,1,01,,245
74,2025,09,4,24,2,12,,2,3,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,992
75,2025,09,4,59,9,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,285
76,2025,09,1,35,4,07,,2,1,6,1,,,1,3,16,01,02,,,,400,400,1,400,400,0,,0,0,0,,240,,7368,3,1,4,4,,,,,,,,,,,,,,,,,3,03,3,178
77,2025,09,4,13,0,08,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,1,09,3,113
78,2025,09,1,24,0,08,,1,4,6,1,,,6,3,18,06,29,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,95
79,2025,09,1,10,0,06,,1,1,4,1,,,1,3,21,05,23,,,,480,240,1,480,240,240,1,0,0,0,,28,,3500,1,1,3,3,,,,,,,,,,,,,,,,,1,03,2,90
80,2025,09,1,12,0,04,,2,1,5,1,,,1,3,17,05,22,,,,350,300,1,350,300,50,0,0,0,0,,79,,4330,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,159
81,2025,09,1,59,0,04,,1,2,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,42,,4700,3,1,1,1,,,,,,,,,,,,,,,,,1,06,1,307
82,2025,09,1,13,0,06,,1,1,5,1,,,4,3,06,01,04,,,,450,450,1,450,450,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,1,03,2,93
83,2025,09,4,35,4,11,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,11,,362
84,2025,09,1,59,0,11,,1,6,1,1,,,5,3,06,08,35,,,,80,60,2,80,60,,,,,,1,81,,,,,,,,,,,,,,,,,,,,,,,,01,,272
85,2025,09,1,35,0,03,5,2,6,4,1,,,2,1,17,02,08,,,,400,400,1,400,400,0,,0,0,0,,20,,2300,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,562
86,2025,09,1,24,2,03,6,1,6,2,1,,,2,3,14,02,06,,,,375,375,1,375,375,0,,0,0,0,,23,,3750,3,1,2,2,,,,,,,,,,,,,,,,,1,18,,1244
87,2025,09,1,24,0,04,,2,6,4,1,,,2,3,14,02,07,,,,370,370,1,370,370,0,,0,0,0,,50,,2650,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,111
88,2025,09,1,35,0,09,,2,2,4,1,,,2,3,06,02,07,,,,375,55,1,375,55,320,3,55,0,55,,77,,3400,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,73
89,2025,09,4,24,2,11,,2,3,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,,365
90,2025,09,4,13,0,12,,1,2,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,11,,113
91,2025,09,1,35,0,10,,1,1,6,1,,,2,2,08,10,41,,,,400,400,1,400,400,0,,0,0,0,,21,,3375,3,1,3,4,,,,,,,,,,,,,,,,,1,04,4,366
92,2025,09,1,13,0,06,,1,4,3,1,,,2,3,20,08,35,,,,375,393,1,375,393,7,1,0,25,25,,46,,2800,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,88
93,2025,09,1,59,0,07,,2,1,4,1,,,2,2,19,07,34,,,,400,360,1,400,360,0,,0,0,0,,76,,2300,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,527
94,2025,09,1,12,0,02,3,2,1,5,1,,,1,3,17,04,16,,,,400,400,1,400,400,0,,0,0,0,,19,,4000,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,243
95,2025,09,3,24,0,07,,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,,126,2,,,,1,,,1,,,1,01,,92
96,2025,09,1,24,0,06,,2,6,4,1,,,2,3,14,04,17,,,,360,364,1,360,364,30,1,0,0,0,,5,,2250,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,332
97,2025,09,4,24,2,01,1,1,6,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,2,14,,676
98,2025,09,1,12,0,05,,2,2,2,1,,,2,3,20,07,32,,,,350,350,1,350,350,0,,0,0,0,,240,,2000,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,149
99,2025,09,2,35,4,09,,1,1,5,1,,,1,3,10,07,31,1,99,2,400,0,1,400,0,,,,,,,240,,3300,1,1,4,4,,,,,,,,,,,,,,,,,1,07,4,1212
100,2025,09,4,48,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,342
101,2025,09,1,24,0,09,,1,2,4,1,,,1,3,05,10,41,,,,370,493,1,370,493,0,,123,0,123,,240,,5800,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,112
102,2025,09,1,59,9,03,6,2,6,5,1,,,2,3,13,02,05,,,,400,400,1,400,400,0,,0,0,0,,29,,4951,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,581
103,2025,09,4,12,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,11,,148
104,2025,09,4,11,0,11,,1,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,11,,34
105,2025,09,4,11,0,12,,2,3,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,01,,57
106,2025,09,1,35,4,04,,1,6,5,1,,,1,2,16,03,11,,,,400,400,1,400,400,0,,0,0,0,,124,,7212,3,1,4,4,,,,,,,,,,,,,,,,,1,18,,203
107,2025,09,1,35,4,06,,1,1,1,1,,,4,2,09,07,33,,,,400,400,1,400,400,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,1,06,1,850
108,2025,09,1,59,0,11,,2,4,2,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,74,,3100,3,1,1,1,,,,,,,,,,,,,,,,,,01,,75
109,2025,09,1,13,0,11,,1,1,1,1,,,1,3,16,07,34,,,,400,400,1,400,400,0,,0,0,0,,46,,2185,1,1,2,4,,,,,,,,,,,,,,,,,,02,,124
110,2025,09,4,35,4,09,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,1,07,4,219
111,2025,09,4,35,3,09,,2,1,6,,1,1,1,3,21,01,02,,,,,,,,,,,,,,,,47,,,,,,,,,5,07,12,,,,,,,,,,,1,11,,816
112,2025,09,1,48,8,07,,1,4,4,1,,,3,3,12,02,05,,,,400,350,1,400,350,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,1,01,,922
113,2025,09,4,35,5,12,,1,1,4,,1,1,6,3,06,08,35,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,2,,,,,,,,,,,,08,,394
114,2025,09,4,35,0,09,,2,1,4,,1,2,2,3,17,04,16,,,,,,,,,,,,,,,,154,,,,,,,,,1,01,12,,,,,,,,,,,1,18,,647
115,2025,09,4,46,0,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,11,,62
116,2025,09,4,24,0,09,,1,2,6,,1,2,2,3,17,01,02,,,,,,,,,,,,,,,,1,,,,,,,,,0,00,12,,,,,,,,,,,1,08,,275
117,2025,09,1,24,0,07,,1,2,4,1,,,2,3,07,10,41,,,,400,400,1,400,400,0,,0,0,0,,79,,3032,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,155
118,2025,09,1,35,4,05,,1,1,6,1,,,6,2,11,08,38,,,,180,180,2,180,180,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,1,03,1,401
119,2025,09,4,10,0,03,6,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,2,16,1,48
120,2025,09,3,35,0,04,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,,,178,2,,1,,,,,2,,,1,06,2,687
121,2025,09,4,48,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,771
122,2025,09,1,59,0,04,,2,1,6,1,,,6,1,17,04,15,,,,400,400,1,400,400,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,1,03,1,650
123,2025,09,1,46,0,05,,1,1,1,1,,,3,3,11,08,35,,,,400,400,1,400,400,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,1,03,1,146
124,2025,09,2,35,0,09,,2,1,2,1,,,1,3,16,02,08,3,1,1,350,0,1,350,0,,,,,,,240,,4121,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,435
125,2025,09,4,35,0,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,11,,292
126,2025,09,1,13,0,05,,2,1,4,1,,,1,3,17,02,08,,,,400,470,1,400,470,0,,70,0,70,,126,,2905,1,1,3,4,,,,,,,,,,,,,,,,,1,08,,101
127,2025,09,1,11,0,09,,2,2,2,1,,,1,3,17,07,34,,,,160,65,2,160,65,0,,0,0,0,5,116,,2321,1,4,2,2,,,,,,,,,,,,,,,,,1,02,,59
128,2025,09,4,47,0,12,,1,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,01,,89
129,2025,09,4,24,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,11,,68
130,2025,09,1,46,6,03,6,2,1,5,2,,,1,3,16,05,20,,,,350,380,1,450,480,40,1,0,70,70,,49,,4469,1,1,4,4,,,,,,,,,,,,,,,,,3,02,,293
131,2025,09,1,59,0,08,,1,1,4,1,,,2,3,06,08,35,,,,400,240,1,400,240,160,4,0,0,0,,107,,3900,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,327
132,2025,09,1,24,2,07,,2,6,5,2,,,2,2,19,07,34,,,,140,70,2,280,220,0,,0,0,0,5,19,,3000,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,845
133,2025,09,1,59,9,06,,2,1,5,2,,,2,2,06,05,19,,,,400,520,1,600,620,0,,0,120,120,,17,,5769,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,498
134,2025,09,2,35,0,10,,1,6,4,1,,,2,3,15,07,34,3,1,2,450,0,1,450,0,,,,,,,86,,1800,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,72
135,2025,09,1,10,0,07,,2,2,6,1,,,1,3,16,05,20,,,,375,375,1,375,375,0,,0,0,0,,229,,5385,2,1,1,4,,,,,,,,,,,,,,,,,1,08,,92
136,2025,09,1,12,0,07,,1,1,5,1,,,2,3,12,02,07,,,,400,400,1,400,400,0,,0,0,0,,240,,6490,3,1,2,3,,,,,,,,,,,,,,,,,1,05,,161
137,2025,09,4,12,0,12,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,151
138,2025,09,1,13,0,06,,2,2,4,1,,,2,3,02,09,40,,,,400,400,1,400,400,0,,0,0,0,,17,,3500,3,2,3,4,,,,,,,,,,,,,,,,,1,03,3,106
139,2025,09,4,24,2,01,2,2,6,2,,1,1,1,2,18,06,30,,,,,,,,,,,,,,,,15,,,,,,,,,4,09,2,,,,,,,,,,,2,03,,935
140,2025,09,4,59,9,02,4,1,6,4,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,14,,,,,,,,,3,05,2,,,,,,,,,,,3,01,,663
141,2025,09,1,24,0,04,,2,2,5,1,,,2,3,12,02,05,,,,350,350,1,350,350,0,,0,0,0,,112,,3400,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,158
142,2025,09,1,35,0,04,,1,1,5,1,,,2,3,12,01,02,,,,375,300,1,375,300,75,3,0,0,0,,89,,6667,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,251
143,2025,09,1,59,9,03,6,1,6,4,1,,,2,3,14,02,07,,,,400,400,1,400,400,0,,0,0,0,,45,,2875,3,1,3,3,,,,,,,,,,,,,,,,,1,18,,415
144,2025,09,1,24,0,12,,2,1,2,1,,,2,3,17,05,26,,,,120,120,2,120,120,0,,0,0,0,5,121,,2600,1,1,3,3,,,,,,,,,,,,,,,,,,08,,84
145,2025,09,1,10,0,04,,2,6,4,1,,,2,3,17,05,26,,,,300,300,1,300,300,0,,0,0,0,,125,,1945,1,1,1,3,,,,,,,,,,,,,,,,,1,08,,52
146,2025,09,1,13,0,08,,1,1,4,1,,,2,3,07,03,13,,,,400,520,1,400,520,0,,0,120,120,,240,,3846,3,1,3,3,,,,,,,,,,,,,,,,,1,03,3,90
147,2025,09,1,47,0,04,,2,1,5,1,,,1,3,17,04,16,,,,80,90,2,80,90,0,,10,0,10,2,115,,5007,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,153
148,2025,09,1,59,0,08,,1,2,5,1,,,1,3,17,04,16,,,,300,260,1,300,260,40,2,0,0,0,,173,,5800,1,1,1,4,,,,,,,,,,,,,,,,,1,03,3,360
